Frame,Tracker,IoU
53,KCF,0.4067770051904809
53,MIL,0.5585433158096159
53,BOOSTING,0.5225099366416119
53,MEDIANFLOW,0.4540500954656019
53,MOSSE,0.3504574757565243
53,Fused,0.47904405207775996
54,CSRT,0.3314046644116076
54,KCF,0.39731791196756905
54,MIL,0.548533222558503
54,BOOSTING,0.5065142505244116
54,MEDIANFLOW,0.43987535758071106
54,MOSSE,0.3398908081983353
54,Fused,0.46899841017488075
55,CSRT,0.30755292771314136
55,KCF,0.39029480824419516
55,MIL,0.5288956704176998
55,BOOSTING,0.5019673974142776
55,MEDIANFLOW,0.410295267892061
55,MOSSE,0.3331827501129374
55,Fused,0.46093419257726137
56,CSRT,0.29756961745003596
56,KCF,0.3757228557531211
56,MIL,0.5117274723652402
56,BOOSTING,0.4796438118633047
56,MEDIANFLOW,0.39251014055277805
56,MOSSE,0.3165098374679213
56,Fused,0.44616757578793037
57,CSRT,0.28993976445203634
57,KCF,0.3663124615789936
57,MIL,0.4986064910545716
57,BOOSTING,0.47064272795447526
57,MEDIANFLOW,0.8779032827391458
57,MOSSE,0.31149020669735533
57,Fused,0.47233884909854285
58,CSRT,0.28025931590656283
58,KCF,0.35435639526981105
58,MIL,0.4819591212458287
58,BOOSTING,0.4581366714549559
58,MEDIANFLOW,0.8586924055062001
58,MOSSE,0.2996855445796144
58,Fused,0.44803608981751575
59,CSRT,0.2634833799131831
59,KCF,0.344597005019289
59,MIL,0.4711219089526754
59,BOOSTING,0.44799705683157887
59,MEDIANFLOW,0.8442281761153778
59,MOSSE,0.29952962870358796
59,Fused,0.43536705486992294
60,CSRT,0.2661672330347029
60,KCF,0.34802426517411267
60,MIL,0.4759207771255964
60,BOOSTING,0.4553762576474272
60,MEDIANFLOW,0.8659646252939373
60,MOSSE,0.30002676701673725
60,Fused,0.44543852287033153
61,CSRT,0.28611561779523526
61,KCF,0.3503102681184873
61,MIL,0.47357185552045084
61,BOOSTING,0.45604117448531895
61,MEDIANFLOW,0.8781533696919163
61,MOSSE,0.30055331004983715
61,Fused,0.4529058116232465
62,CSRT,0.273119918699187
62,KCF,0.3474913724449164
62,MIL,0.4696815718157182
62,BOOSTING,0.4552010397886881
62,MEDIANFLOW,0.8811421652709112
62,MOSSE,0.295950737077813
62,Fused,0.4550366170367339
63,CSRT,0.27918312253162025
63,KCF,0.34586096782117415
63,MIL,0.4620973520638571
63,BOOSTING,0.45639399774251377
63,MEDIANFLOW,0.8689152113555341
63,MOSSE,0.29310265494869553
63,Fused,0.45735781814581994
64,CSRT,0.27732893128680497
64,KCF,0.3297063552773311
64,MIL,0.4401517436231171
64,BOOSTING,0.4374707890713499
64,MEDIANFLOW,0.8395475757336075
64,MOSSE,0.28419705505950194
64,Fused,0.44226800875825023
65,CSRT,0.2978464771943033
65,KCF,0.3240677966101695
65,MIL,0.43493945667858713
65,BOOSTING,0.42704945522044657
65,MEDIANFLOW,0.8450185080619863
65,MOSSE,0.28130843161364016
65,Fused,0.4353462981917434
66,CSRT,0.292051798649667
66,KCF,0.3178719866999169
66,MIL,0.42647759954476244
66,BOOSTING,0.42134056638470024
66,MEDIANFLOW,0.8348968392654588
66,MOSSE,0.27622395107767705
66,Fused,0.4332111811179594
67,CSRT,0.27875432525951555
67,KCF,0.31785277093503
67,MIL,0.42645136485966934
67,BOOSTING,0.41876027685365763
67,MEDIANFLOW,0.842021366276842
67,MOSSE,0.2762081651605529
67,Fused,0.4295748895322261
68,CSRT,0.2879336637438048
68,KCF,0.3299587551556056
68,MIL,0.44049434489769984
68,BOOSTING,0.43247320490644425
68,MEDIANFLOW,0.8816082094294065
68,MOSSE,0.28289125448450275
