Frame,Tracker,Is_inside
50,Fused,True
50,CSRT,True
50,KCF,True
50,MIL,True
50,BOOSTING,True
50,MEDIANFLOW,True
50,MOSSE,True
51,Fused,True
51,CSRT,True
51,KCF,True
51,MIL,True
51,BOOSTING,True
51,MEDIANFLOW,True
51,MOSSE,True
52,Fused,True
52,CSRT,True
52,KCF,True
52,MIL,True
52,BOOSTING,True
52,MEDIANFLOW,True
52,MOSSE,True
53,Fused,True
53,CSRT,True
53,KCF,True
53,MIL,True
53,BOOSTING,True
53,MEDIANFLOW,True
53,MOSSE,True
54,Fused,True
54,CSRT,True
54,KCF,True
54,MIL,True
54,BOOSTING,True
54,MEDIANFLOW,True
54,MOSSE,True
55,Fused,True
55,CSRT,True
55,KCF,True
55,MIL,True
55,BOOSTING,True
55,MEDIANFLOW,True
55,MOSSE,True
56,Fused,True
56,CSRT,True
56,KCF,True
56,MIL,True
56,BOOSTING,True
56,MEDIANFLOW,True
56,MOSSE,True
57,Fused,True
57,CSRT,True
57,KCF,True
57,MIL,True
57,BOOSTING,True
57,MEDIANFLOW,True
57,MOSSE,True
58,Fused,True
58,CSRT,True
58,KCF,True
58,MIL,True
58,BOOSTING,True
58,MEDIANFLOW,True
58,MOSSE,True
59,Fused,True
59,CSRT,True
59,KCF,True
59,MIL,True
59,BOOSTING,True
59,MEDIANFLOW,True
59,MOSSE,True
60,Fused,True
60,CSRT,True
60,KCF,True
60,MIL,True
60,BOOSTING,True
60,MEDIANFLOW,True
60,MOSSE,True
61,Fused,True
61,CSRT,True
61,KCF,True
61,MIL,True
61,BOOSTING,True
61,MEDIANFLOW,True
61,MOSSE,True
62,Fused,True
62,CSRT,True
62,KCF,True
62,MIL,True
62,BOOSTING,True
62,MEDIANFLOW,True
62,MOSSE,True
63,Fused,True
63,CSRT,True
63,KCF,True
63,MIL,True
63,BOOSTING,True
63,MEDIANFLOW,True
63,MOSSE,True
64,Fused,True
64,CSRT,True
64,KCF,True
64,MIL,True
64,BOOSTING,True
64,MEDIANFLOW,True
64,MOSSE,True
65,Fused,True
65,CSRT,True
65,KCF,True
65,MIL,True
65,BOOSTING,True
65,MEDIANFLOW,True
65,MOSSE,True
66,Fused,True
66,CSRT,True
66,KCF,True
66,MIL,True
66,BOOSTING,True
66,MEDIANFLOW,True
66,MOSSE,True
67,Fused,True
67,CSRT,True
67,KCF,True
67,MIL,True
67,BOOSTING,True
67,MEDIANFLOW,True
67,MOSSE,True
68,Fused,True
68,CSRT,True
68,KCF,True
68,MIL,True
68,BOOSTING,True
68,MEDIANFLOW,True
68,MOSSE,True
69,Fused,True
69,CSRT,True
69,KCF,True
69,MIL,True
69,BOOSTING,True
69,MEDIANFLOW,True
69,MOSSE,True
70,Fused,True
70,CSRT,True
70,KCF,True
70,MIL,True
70,BOOSTING,True
70,MEDIANFLOW,True
70,MOSSE,True
71,Fused,True
71,CSRT,True
71,KCF,True
71,MIL,True
71,BOOSTING,True
71,MEDIANFLOW,True
71,MOSSE,True
72,Fused,True
72,CSRT,True
72,KCF,True
72,MIL,True
72,BOOSTING,True
72,MEDIANFLOW,True
72,MOSSE,True
73,Fused,True
73,CSRT,True
73,KCF,True
73,MIL,True
73,BOOSTING,True
73,MEDIANFLOW,True
73,MOSSE,True
74,Fused,True
74,CSRT,True
74,KCF,True
74,MIL,True
74,BOOSTING,True
74,MEDIANFLOW,True
74,MOSSE,True
75,Fused,True
75,CSRT,True
75,KCF,True
75,MIL,True
