Frame,Tracker,IoU
33,MOSSE,0.5111976630963972
33,Fused,0.5493881517019403
34,CSRT,0.5478260869565217
34,KCF,0.48782608695652174
34,MIL,0.5929579493087558
34,BOOSTING,0.48782608695652174
34,MEDIANFLOW,0.41614767686724313
34,MOSSE,0.5938756572842561
34,Fused,0.639828151078692
35,CSRT,0.5946633633533095
35,KCF,0.5071143995446784
35,MIL,0.50164704798323
35,BOOSTING,0.5071143995446784
35,MEDIANFLOW,0.40340822419316175
35,MOSSE,0.5680650284966832
35,Fused,0.600936524453694
36,CSRT,0.6066028801880939
36,KCF,0.5031055900621118
36,MIL,0.49891177346560056
36,BOOSTING,0.4879821129122415
36,MEDIANFLOW,0.42084754018509496
36,MOSSE,0.571659365582378
36,Fused,0.5971454326923077
37,CSRT,0.598964705882353
37,KCF,0.4752
37,MIL,0.51614431733568
37,BOOSTING,0.4752
37,MEDIANFLOW,0.3964529166918019
37,MOSSE,0.534662172065074
37,Fused,0.5974694589877836
38,CSRT,0.6245923652407442
38,KCF,0.49258536585365853
38,MIL,0.529587442700375
38,BOOSTING,0.4706334711141017
38,MEDIANFLOW,0.41621324203704835
38,MOSSE,0.5994380268498283
38,Fused,0.6379091677738857
39,CSRT,0.6108108108108108
39,KCF,0.46773097826086957
39,MIL,0.5290092368843018
39,BOOSTING,0.4539920464973998
39,MEDIANFLOW,0.4233559961149517
39,MOSSE,0.5930568948891032
39,Fused,0.6290108111233161
40,CSRT,0.5088917888488013
40,KCF,0.38933299061817245
40,MIL,0.6185263525153187
40,BOOSTING,0.3838906241999078
40,MEDIANFLOW,0.47104506062798945
40,MOSSE,0.5264104870839224
40,Fused,0.6099829286314877
41,CSRT,0.48064814814814816
41,KCF,0.350625
41,MIL,0.594650581855846
41,BOOSTING,0.34585841810255347
41,MEDIANFLOW,0.45045698534745393
41,MOSSE,0.4740740740740741
41,Fused,0.5693518518518519
42,CSRT,0.4598587026332691
42,KCF,0.3354594379111023
42,MIL,0.5719643694327239
42,BOOSTING,0.3176007866273353
42,MEDIANFLOW,0.4502544625902013
42,MOSSE,0.4535689765907027
42,Fused,0.5517241379310345
43,CSRT,0.3348968275611308
43,KCF,0.2753749659121898
43,MIL,0.564051948051948
43,BOOSTING,0.2476124419783386
43,MEDIANFLOW,0.5399330128789047
43,MOSSE,0.36439222774514235
43,Fused,0.4560494500499955
44,CSRT,0.4068930155828522
44,KCF,0.3389500537056928
44,MIL,0.5045980253878702
44,BOOSTING,0.3208609271523179
44,MEDIANFLOW,0.3767960363336086
44,MOSSE,0.4582885785893305
44,Fused,0.5613363766559255
45,CSRT,0.3301813011020263
45,KCF,0.2717243111366246
45,MIL,0.622937087863126
45,BOOSTING,0.2377518594824877
45,MEDIANFLOW,0.4763375948499851
45,MOSSE,0.3595890410958904
45,Fused,0.4569108889643949
46,CSRT,0.3155702479338843
46,KCF,0.25036363636363634
46,MIL,0.5837851239669422
46,BOOSTING,0.25036363636363634
46,MEDIANFLOW,0.4784720584767743
46,MOSSE,0.3385123966942149
46,Fused,0.43591735537190085
47,CSRT,0.24936376434914448
47,MIL,0.46360784944507
47,BOOSTING,0.2050438596491228
47,MEDIANFLOW,0.5205705578599847
47,MOSSE,0.2772363006281135
47,Fused,0.3988385315139701
48,CSRT,0.25147523709167546
48,KCF,0.3880795574288725
48,MIL,0.46521338250790306
48,BOOSTING,0.19951264488935722
48,MEDIANFLOW,0.5150633658129742
48,MOSSE,0.2697576396206533
48,Fused,0.3947576396206533
49,CSRT,0.23791116275760665
49,KCF,0.34936087461759197
49,MIL,0.4187990608769891
49,BOOSTING,0.1774710902268988
49,MEDIANFLOW,0.5339569941842669
49,MOSSE,0.24284393008750918
49,Fused,0.3594991343941945
50,CSRT,0.20578003478817203
50,KCF,0.2950578338590957
50,MIL,0.35370286916028243
50,BOOSTING,0.15168995042812078
50,MEDIANFLOW,0.6223684210526316
50,MOSSE,0.20509739121726503
50,Fused,0.30712533173101
51,CSRT,0.2137342624119091
51,KCF,0.29162047668065566
51,MIL,0.34958231055507166
51,BOOSTING,0.14992279673766729
51,MEDIANFLOW,0.6222708008030337
51,MOSSE,0.20270805289413255
51,Fused,0.31053527595217356
52,CSRT,0.19841226087435912
52,KCF,0.2707150339048459
52,MIL,0.3245217487182314
52,BOOSTING,0.13917525773195877
52,MEDIANFLOW,0.6030252100840336
52,MOSSE,0.18817648896484554
52,Fused,0.28827388499917306
53,CSRT,0.1823734729493892
53,KCF,0.26780650087260033
53,MIL,0.3210351221640489
53,BOOSTING,0.13767997382198952
53,MEDIANFLOW,0.5983707726487287
53,MOSSE,0.18615474112856312
53,Fused,0.2836678301337987
54,CSRT,0.17732840754423487
54,KCF,0.2603980697505877
54,MIL,0.30105774202311786
54,BOOSTING,0.13387128135329573
54,MEDIANFLOW,0.55401904167317
54,MOSSE,0.18100507309140404
54,Fused,0.27728775210789597
55,CSRT,0.16545718432510886
55,KCF,0.2429657606544399
55,MIL,0.2912570919646391
55,BOOSTING,0.12490928882438317
55,MEDIANFLOW,0.5515032912293186
55,MOSSE,0.16888771605752737
55,Fused,0.26028334872674497
56,CSRT,0.17392178377880338
56,KCF,0.24678566343069178
56,MIL,0.2813364475144528
56,BOOSTING,0.12687311013761968
56,MEDIANFLOW,0.5315881173042855
56,MOSSE,0.1715429653144815
56,Fused,0.26736579359561763
57,CSRT,0.8079148144645165
57,KCF,0.8079148144645165
57,MIL,0.8079148144645165
57,BOOSTING,0.8009028813692393
57,MEDIANFLOW,0.8079148144645165
57,MOSSE,0.8260382815293953
57,Fused,0.7213298888015276
58,CSRT,0.9125010101010101
58,KCF,0.8444131408989061
58,MIL,0.836937794332409
58,BOOSTING,0.8332227980971564
58,MEDIANFLOW,0.8498747858178464
58,MOSSE,0.8515481225583573
58,Fused,0.8690852774482668
59,CSRT,0.8948409131763437
59,KCF,0.8361725839834421
59,MIL,0.8631663974151857
59,BOOSTING,0.8476449855815443
59,MEDIANFLOW,0.8513302034428795
59,MOSSE,0.8699488852999451
59,Fused,0.8188532778696713
60,CSRT,0.6674228142771098
