Frame,Tracker,Is_inside
108,BOOSTING,True
108,MOSSE,True
109,Fused,True
109,CSRT,True
109,KCF,True
109,MIL,True
109,BOOSTING,True
109,MOSSE,True
110,Fused,True
110,CSRT,True
110,KCF,True
110,MIL,True
110,BOOSTING,True
110,MOSSE,True
111,Fused,True
111,CSRT,True
111,MIL,True
111,BOOSTING,True
111,MOSSE,True
112,Fused,True
112,CSRT,True
112,KCF,True
112,MIL,True
112,BOOSTING,True
112,MEDIANFLOW,True
112,MOSSE,True
113,Fused,True
113,CSRT,True
113,KCF,True
113,MIL,True
113,BOOSTING,True
113,MEDIANFLOW,True
113,MOSSE,True
114,Fused,True
114,CSRT,True
114,KCF,True
114,MIL,True
114,BOOSTING,True
114,MEDIANFLOW,True
114,MOSSE,True
115,Fused,True
115,CSRT,True
115,KCF,True
115,MIL,True
115,BOOSTING,True
115,MEDIANFLOW,True
115,MOSSE,True
116,Fused,True
116,CSRT,True
116,KCF,True
116,MIL,True
116,BOOSTING,True
116,MEDIANFLOW,True
116,MOSSE,True
117,Fused,True
117,CSRT,True
117,KCF,True
117,MIL,True
117,BOOSTING,True
117,MEDIANFLOW,True
117,MOSSE,True
118,Fused,True
118,CSRT,True
118,KCF,True
118,MIL,True
118,BOOSTING,True
118,MEDIANFLOW,True
118,MOSSE,True
119,Fused,True
119,CSRT,True
119,KCF,True
119,MIL,True
119,BOOSTING,True
119,MOSSE,True
120,Fused,True
120,CSRT,True
120,KCF,True
120,MIL,True
120,BOOSTING,True
120,MEDIANFLOW,True
120,MOSSE,True
121,Fused,True
121,CSRT,True
121,KCF,True
121,MIL,True
121,BOOSTING,True
121,MEDIANFLOW,True
121,MOSSE,False
